Intertion times,Searching times
317, 99
241, 100
253, 104
258, 111
266, 120
277, 121
220, 102
232, 105
230, 112
240, 113
249, 118
242, 224
253, 123
262, 127
261, 123
269, 128
268, 133
275, 130
273, 139
279, 136
313, 141
304, 141
281, 131
294, 146
276, 139
471, 143
298, 142
275, 146
302, 146
306, 150
302, 140
289, 144
310, 150
319, 149
309, 151
311, 155
280, 143
407, 155
312, 148
314, 158
312, 157
303, 267
351, 157
338, 168
305, 160
334, 170
381, 171
340, 166
427, 186
350, 183
328, 179
325, 169
328, 158
338, 158
310, 184
325, 168
342, 176
334, 172
333, 174
343, 191
349, 179
356, 179
363, 183
334, 184
362, 183
349, 183
447, 211
366, 201
353, 182
403, 254
369, 188
366, 188
366, 186
357, 276
366, 184
351, 190
342, 193
326, 185
452, 270
363, 193
355, 178
357, 190
323, 198
357, 189
350, 190
543, 198
357, 200
596, 263
355, 199
537, 197
364, 194
350, 188
365, 199
373, 193
360, 192
344, 203
368, 198
363, 200
372, 198
364, 198
338, 197
367, 508
464, 200
373, 202
373, 194
343, 202
337, 188
425, 203
362, 200
340, 194
375, 201
379, 217
370, 192
395, 211
353, 206
378, 205
369, 198
372, 216
363, 202
370, 196
376, 205
384, 202
370, 202
345, 215
365, 206
404, 204
478, 225
360, 228
437, 213
381, 209
387, 218
389, 224
381, 208
400, 213
391, 222
397, 224
392, 225
559, 470
571, 296
532, 279
418, 240
401, 222
393, 221
404, 223
399, 230
383, 221
390, 236
441, 237
459, 227
398, 225
389, 217
403, 238
400, 224
410, 230
395, 230
388, 232
394, 232
407, 226
402, 297
406, 221
413, 232
400, 232
424, 215
422, 238
381, 222
403, 230
416, 242
375, 237
443, 225
379, 229
463, 213
408, 232
409, 244
396, 224
415, 250
401, 226
396, 219
389, 232
391, 243
428, 231
406, 245
426, 243
400, 229
403, 244
407, 229
410, 228
417, 231
378, 239
390, 229
462, 239
417, 247
401, 251
422, 264
430, 230
422, 229
440, 232
393, 242
420, 232
432, 235
413, 248
411, 233
399, 242
402, 228
410, 443
450, 239
389, 222
417, 228
415, 227
380, 239
438, 250
390, 234
412, 234
414, 236
396, 225
461, 354
492, 230
410, 225
406, 253
394, 235
392, 233
402, 232
405, 237
416, 223
419, 230
393, 230
410, 545
524, 242
403, 231
400, 243
400, 249
430, 242
412, 240
405, 241
384, 232
416, 230
508, 248
461, 254
404, 246
428, 259
433, 252
431, 261
427, 262
458, 281
565, 378
490, 288
473, 297
939, 337
474, 282
492, 276
709, 591
753, 400
578, 379
570, 361
555, 906
642, 401
596, 419
12927, 554
766, 480
746, 501
701, 392
573, 386
555, 380
536, 366
527, 352
520, 378
497, 345
608, 381
542, 357
514, 347
494, 346
477, 350
547, 362
518, 321
509, 317
476, 287
1103, 406
735, 396
517, 322
478, 314
473, 330
917, 355
552, 356
625, 367
532, 344
478, 325
481, 316
454, 316
414, 326
468, 310
448, 283
441, 324
522, 329
464, 332
472, 308
456, 326
468, 308
465, 315
448, 293
461, 297
468, 307
467, 303
473, 309
458, 289
484, 296
454, 287
450, 314
441, 294
512, 358
464, 290
464, 274
541, 284
695, 388
526, 309
454, 295
472, 306
452, 305
448, 281
474, 281
453, 290
450, 279
455, 298
465, 286
459, 295
458, 283
438, 271
448, 288
452, 278
446, 278
439, 288
437, 279
459, 292
439, 269
482, 268
432, 281
451, 266
477, 270
431, 278
446, 285
419, 271
446, 282
454, 288
612, 324
510, 417
585, 292
474, 278
445, 285
460, 289
441, 282
474, 293
467, 272
467, 284
436, 278
420, 279
504, 262
442, 280
449, 267
422, 269
422, 266
452, 272
432, 266
456, 272
411, 272
423, 271
449, 259
453, 270
420, 286
457, 289
446, 264
454, 267
451, 284
436, 289
462, 277
419, 262
469, 253
428, 258
438, 269
530, 310
481, 291
466, 258
420, 274
461, 277
450, 260
441, 270
421, 270
454, 262
452, 261
435, 274
435, 276
426, 262
443, 274
459, 271
460, 274
475, 268
429, 275
486, 262
448, 271
450, 275
428, 277
447, 284
441, 284
