Intertion times,Searching times
192, 82
222, 89
228, 99
224, 93
231, 103
230, 106
248, 114
251, 112
262, 115
256, 119
258, 121
276, 123
282, 131
280, 132
297, 130
298, 136
286, 137
304, 142
307, 141
315, 150
356, 156
354, 150
343, 154
363, 156
434, 157
341, 168
365, 154
338, 165
350, 159
376, 170
407, 174
392, 184
429, 166
623, 204
562, 237
573, 244
536, 184
528, 187
460, 187
469, 203
488, 199
483, 201
510, 212
473, 208
567, 222
558, 209
565, 222
575, 222
570, 224
610, 236
708, 230
598, 241
607, 230
613, 238
628, 258
644, 240
654, 262
702, 291
899, 276
702, 275
738, 277
736, 285
771, 451
1021, 367
1402, 419
1194, 351
1378, 411
1190, 400
1371, 415
1188, 446
1227, 352
1155, 443
1299, 414
1300, 427
1163, 504
1361, 428
1463, 476
1363, 459
1419, 482
1352, 454
1078, 378
1022, 394
1050, 424
1063, 380
1101, 402
1185, 393
1115, 437
1156, 400
1193, 432
1222, 434
1222, 416
1211, 431
1388, 447
1335, 432
1315, 472
1292, 464
1299, 525
1382, 403
1398, 469
1392, 495
1779, 617
1992, 510
3049, 604
1520, 543
1512, 566
1492, 577
1599, 537
1681, 523
1587, 645
1545, 679
1642, 582
1640, 618
1645, 750
2188, 722
2142, 650
2138, 1210
1794, 647
1768, 629
1772, 619
2000, 609
1829, 639
1935, 802
1845, 671
1912, 633
2036, 632
1916, 704
2072, 646
1931, 684
2035, 665
2088, 891
3277, 756
3291, 1071
2778, 1100
2387, 857
2954, 1196
2958, 1047
3373, 1119
3079, 1210
3704, 1134
2936, 881
3066, 1086
2592, 908
2340, 932
2510, 967
2306, 882
2471, 928
3031, 1034
2649, 911
2692, 995
2925, 1115
3191, 1119
2437, 1077
2562, 934
3125, 1106
2891, 1092
3018, 966
2781, 1172
2878, 1000
2776, 997
2865, 1038
3283, 958
3091, 1217
3171, 1198
3840, 1263
3253, 1167
2946, 1380
3243, 1063
3255, 1045
3391, 1091
3022, 1021
3303, 1664
3057, 1078
3109, 1243
3227, 1090
3196, 1095
3376, 1068
3220, 1232
3538, 1135
3220, 1272
4090, 1453
4189, 1824
4319, 1640
4324, 1962
4801, 1683
6923, 2123
4501, 1529
4965, 1654
5501, 1730
4218, 1315
4333, 1349
3796, 1521
3751, 1561
3885, 1385
3816, 1399
4585, 1668
4563, 1678
3876, 1526
5154, 1685
4132, 1517
4088, 1543
4080, 1564
3855, 1472
4284, 1531
3933, 1465
4103, 1526
4003, 1890
4145, 1525
4307, 1446
4132, 1310
4446, 1364
4238, 1891
5068, 1649
5356, 2355
5574, 1741
4310, 1538
4478, 1850
4525, 1596
4417, 1647
4448, 1501
4616, 1501
4542, 1842
6163, 1450
4748, 1978
4372, 1807
4338, 1677
5029, 1546
4680, 1887
4380, 1856
4788, 1712
4641, 2056
4718, 1863
5092, 1688
4912, 1737
4492, 1860
4995, 1870
5009, 1770
4626, 1865
4664, 1785
5080, 1711
4653, 1873
4957, 2038
4973, 2008
5140, 1897
6616, 2329
4789, 1810
5335, 2158
5318, 2033
4932, 2241
5151, 2076
5776, 1901
5870, 2254
5621, 1733
5341, 3746
6442, 2574
5552, 2394
5361, 2229
5568, 2259
5305, 2157
5483, 2172
5143, 1975
5339, 2293
5497, 2344
5609, 2072
5235, 2223
5273, 2438
5548, 2245
5604, 2327
5727, 2493
5901, 2146
5302, 2840
5668, 2618
5406, 2096
5880, 2335
5742, 2233
5800, 2199
5538, 2689
5505, 2772
6243, 2423
5848, 2742
7764, 2245
6057, 2160
5941, 2323
5953, 2762
5975, 2642
5978, 2733
5977, 2476
6034, 2592
6116, 2426
7305, 2789
7803, 3340
8149, 2902
6114, 2561
6309, 2441
5883, 2417
6726, 2898
5989, 2835
5991, 2601
6392, 2687
6681, 2891
6387, 2754
6838, 2591
6840, 2324
7644, 3937
7906, 2902
6492, 2848
6417, 2747
7642, 2731
6533, 2753
6628, 2945
6727, 2561
6758, 2917
7239, 2729
6761, 2771
6597, 2641
6761, 2896
6672, 2492
6826, 2804
6850, 3116
8982, 3260
8175, 3233
7883, 2823
7004, 4866
7513, 2904
7046, 3086
7191, 2807
7047, 2960
7262, 4168
7466, 3182
7234, 3823
7655, 3225
7148, 3065
7272, 2906
9066, 3018
7141, 2834
7043, 2888
7165, 2774
9120, 3677
27513, 4070
7799, 3204
7547, 3252
10522, 3989
10360, 3554
10384, 4266
10903, 3433
7530, 3575
7398, 3459
7525, 3692
7719, 2986
8034, 2887
7860, 3604
7858, 2856
7790, 2836
7657, 3163
8923, 3116
7604, 3318
7893, 3351
7642, 2797
7683, 3284
7988, 3232
7762, 3180
7752, 3160
7847, 3388
7851, 3117
7782, 3339
7995, 2797
7930, 3405
7909, 3084
8121, 3772
8618, 3917
8738, 3596
8221, 3491
8114, 3303
7914, 5337
8405, 3566
9538, 3687
8271, 3703
9448, 3756
8760, 3724
8629, 3820
8194, 3783
8258, 3862
9225, 3211
8529, 3850
8322, 3550
12186, 4631
14573, 4069
14495, 3828
8724, 4047
9518, 3897
9129, 4008
11645, 3900
10864, 8696
15156, 4911
9483, 3454
9939, 3730
9004, 3874
9477, 4390
10046, 4741
9094, 4804
8917, 3881
