Intertion times,Searching times,Insert Collisions,Search Collisions
114, 20,0,0
83, 20,0,0
80, 21,0,0
127, 21,0,0
120, 22,0,0
134, 56,0,0
238, 36,0,0
72, 24,0,0
132, 29,0,0
100, 25,0,0
139, 26,2,1
50, 25,2,2
103, 25,2,1
91, 24,4,1
224, 22,1,0
93, 23,4,0
48, 24,3,1
233, 22,1,0
90, 23,12,1
89, 22,7,0
45, 23,5,1
105, 23,4,1
92, 23,6,1
101, 22,9,0
281, 25,8,0
51, 25,9,1
97, 23,16,1
92, 24,10,1
91, 24,13,0
58, 24,10,0
98, 24,11,0
91, 24,9,1
90, 24,12,1
86, 24,4,2
54, 25,13,2
94, 23,15,1
89, 24,6,0
90, 24,11,2
228, 26,34,1
57, 25,17,3
97, 25,25,1
96, 25,25,0
91, 24,19,1
51, 26,25,9
95, 27,26,5
105, 26,16,0
96, 28,13,0
98, 26,11,2
55, 24,21,1
93, 25,10,2
90, 25,9,8
93, 24,18,2
48, 25,10,1
93, 24,11,4
95, 24,32,2
86, 25,28,3
93, 24,37,0
53, 24,31,7
94, 25,28,4
90, 25,18,4
90, 24,18,2
54, 25,24,5
94, 24,25,2
93, 25,24,2
93, 26,13,5
91, 24,6,2
52, 25,16,3
95, 24,21,1
92, 24,23,0
87, 25,18,2
93, 27,12,9
56, 25,19,5
93, 25,21,4
87, 24,12,1
93, 24,17,3
55, 24,8,2
94, 24,29,2
91, 27,10,12
94, 25,26,2
93, 24,27,1
55, 25,17,3
172, 25,21,3
94, 26,18,5
96, 24,31,0
53, 26,20,3
89, 26,22,10
90, 26,25,6
92, 25,30,5
90, 24,15,2
52, 25,36,1
93, 40,25,8
101, 29,34,6
101, 28,43,11
56, 25,21,3
101, 27,27,4
99, 27,18,2
103, 31,31,6
104, 30,29,2
55, 30,21,6
98, 26,21,2
111, 27,37,5
96, 28,29,5
95, 28,28,6
53, 26,43,5
94, 27,24,9
90, 28,29,7
92, 26,9,5
57, 27,24,4
90, 27,15,8
93, 25,24,4
93, 25,10,2
89, 27,14,10
58, 27,18,6
93, 26,25,3
92, 26,19,4
90, 28,25,14
51, 26,14,7
107, 28,18,6
90, 27,17,6
91, 24,7,0
88, 26,6,7
56, 27,19,10
96, 28,28,8
170, 29,11,14
91, 26,16,6
49, 26,14,5
290, 27,22,2
96, 26,31,4
95, 27,16,6
97, 28,29,4
55, 26,27,5
102, 28,19,2
106, 28,9,4
98, 30,18,6
108, 30,27,2
57, 26,37,1
94, 31,10,8
92, 28,27,8
96, 27,18,4
56, 30,21,5
92, 29,18,4
85, 27,12,4
93, 27,10,2
92, 25,13,2
48, 28,19,4
90, 29,9,12
91, 28,18,7
92, 28,16,2
50, 29,16,7
92, 30,17,4
90, 28,24,6
95, 27,34,13
100, 30,15,3
53, 29,24,11
111, 26,14,3
87, 27,18,5
87, 26,32,5
50, 26,18,1
89, 29,36,4
89, 29,12,6
90, 28,26,8
106, 27,29,4
46, 31,12,15
111, 25,14,2
99, 29,12,15
158, 29,47,3
91, 26,30,5
54, 26,34,7
88, 27,24,4
274, 27,12,7
89, 29,26,22
49, 30,39,12
267, 30,13,11
98, 31,22,5
94, 29,18,6
99, 31,34,8
58, 30,36,5
102, 31,44,9
98, 29,40,9
99, 32,37,7
54, 31,26,5
92, 30,44,6
92, 31,63,10
94, 28,45,7
93, 29,46,4
57, 27,58,4
91, 27,39,5
92, 29,39,5
93, 31,57,4
56, 29,80,3
97, 30,62,14
95, 32,55,11
292, 32,82,13
237, 28,80,5
54, 26,50,0
98, 34,78,11
98, 34,94,14
100, 34,115,21
99, 32,69,12
60, 31,104,11
98, 37,93,17
97, 33,98,9
101, 30,146,8
61, 34,96,15
104, 31,209,12
101, 32,165,11
101, 31,153,22
174, 31,204,6
64, 32,171,14
104, 34,153,6
293, 39,263,18
183, 66,306,16
70, 173,193,25
119, 39,329,36
105, 35,225,11
104, 40,309,39
108, 40,303,35
65, 31,315,17
113, 38,339,19
107, 39,373,19
105, 32,335,16
66, 38,339,21
107, 33,348,8
110, 36,412,29
109, 42,488,64
110, 40,442,28
66, 36,328,25
116, 33,721,17
110, 38,601,15
115, 40,814,49
115, 36,812,23
76, 39,744,48
116, 39,711,65
116, 41,840,68
115, 36,778,51
77, 41,869,74
128, 36,1350,21
124, 41,1171,83
123, 37,1137,49
134, 36,1624,29
77, 39,867,55
136, 36,1677,29
155, 41,2808,73
125, 41,1264,55
95, 38,1448,47
134, 40,1209,46
228, 43,1830,45
151, 51,1543,189
281, 47,2032,71
108, 59,2404,150
224, 45,1596,81
147, 48,2295,78
149, 54,2464,126
116, 54,2971,117
143, 42,2121,66
283, 47,9263,95
233, 51,6704,129
270, 50,8527,151
273, 54,10775,187
403, 73,15175,435
295, 56,9824,187
336, 89,11826,648
406, 120,15472,1365
306, 59,12328,315
312, 52,10665,208
333, 47,11725,141
306, 52,10344,218
229, 74,8332,594
373, 125,13633,1839
488, 96,18754,1241
453, 47,17743,101
325, 76,10480,863
327, 42,13436,140
481, 71,18289,767
335, 44,11830,102
504, 61,18793,351
492, 84,21706,710
366, 46,13293,170
484, 92,19383,1302
703, 44,30192,149
495, 52,19894,229
538, 124,24056,1826
409, 64,15555,711
363, 96,13073,1467
481, 301,19241,1872
499, 42,14777,81
444, 261,17293,957
421, 69,12521,489
483, 323,17337,2700
350, 197,12595,3899
252, 49,9638,35
382, 50,14139,121
471, 57,14320,234
335, 137,11732,2210
272, 70,8672,713
276, 56,10703,293
212, 50,5561,150
278, 139,8812,2358
312, 139,10679,1451
280, 101,11055,1282
281, 81,7851,715
419, 140,5836,1773
286, 204,8225,420
