Intertion times,Searching times,Insert Collisions,Search Collisions
115, 22,0,0
160, 23,0,0
156, 25,0,0
144, 23,0,0
103, 22,0,0
141, 24,0,0
132, 24,0,0
133, 24,0,0
122, 25,0,0
82, 25,0,1
122, 24,0,2
129, 24,0,0
113, 24,0,0
79, 24,2,1
116, 25,0,4
112, 26,2,2
242, 26,0,1
110, 25,2,3
63, 25,0,2
108, 25,0,1
108, 25,0,2
108, 25,0,3
112, 25,2,1
63, 26,0,2
97, 25,0,0
105, 26,2,2
101, 26,0,2
55, 26,0,1
98, 26,2,2
102, 26,2,3
100, 26,0,3
100, 26,0,2
55, 25,2,1
95, 26,0,4
96, 26,2,2
95, 26,5,4
53, 27,0,4
96, 27,8,6
93, 26,2,3
94, 26,0,1
95, 26,5,1
51, 27,4,5
94, 26,4,4
92, 25,4,0
91, 27,0,9
54, 26,0,1
90, 27,2,1
94, 28,2,6
92, 27,0,5
96, 27,0,2
48, 27,3,3
97, 27,4,4
94, 27,2,5
90, 26,7,1
95, 26,9,3
52, 27,7,5
92, 28,5,6
89, 27,2,5
169, 29,0,5
52, 28,7,6
93, 27,3,3
93, 27,12,0
92, 27,4,4
93, 28,4,8
53, 29,9,6
95, 28,8,5
91, 29,6,8
95, 27,17,5
49, 28,11,4
91, 29,2,4
95, 28,13,4
96, 30,15,3
92, 30,4,6
54, 28,9,3
92, 31,6,4
96, 28,14,3
94, 29,15,7
52, 29,13,6
92, 30,9,9
94, 29,6,5
90, 28,10,1
93, 29,14,4
50, 30,10,6
92, 31,9,13
93, 27,11,3
91, 30,9,6
94, 31,25,14
54, 28,15,5
91, 27,6,4
93, 29,13,7
95, 28,26,6
51, 28,12,3
94, 28,14,7
92, 29,14,10
92, 31,18,6
92, 29,13,9
51, 27,21,4
93, 28,25,8
93, 28,17,5
95, 29,24,9
53, 29,28,8
175, 34,21,16
95, 30,16,7
97, 29,28,4
95, 28,14,8
50, 32,17,10
100, 30,40,12
96, 27,26,4
95, 31,18,15
53, 29,28,11
97, 28,32,7
95, 32,30,18
97, 31,45,20
95, 29,35,4
52, 29,35,12
96, 30,31,16
110, 30,32,12
97, 28,31,5
101, 30,39,7
53, 30,28,9
95, 31,28,11
96, 31,31,17
98, 32,27,17
53, 34,25,23
98, 28,28,6
107, 34,16,17
97, 30,32,9
96, 30,35,6
55, 34,31,17
98, 32,36,12
95, 32,20,24
98, 32,37,12
55, 36,35,23
96, 32,29,14
97, 32,43,21
100, 29,34,6
96, 31,29,15
59, 32,52,25
102, 33,53,24
97, 29,35,16
94, 30,39,16
57, 33,45,22
100, 31,62,15
177, 33,41,19
100, 33,54,23
98, 32,36,19
61, 31,61,20
98, 31,45,15
100, 30,55,11
100, 34,53,16
101, 31,53,10
58, 31,55,19
102, 33,57,23
102, 33,65,27
104, 29,59,10
62, 33,59,13
133, 34,77,21
100, 32,43,19
120, 33,88,25
103, 32,52,18
59, 32,64,19
101, 32,52,16
103, 37,50,20
105, 35,98,25
61, 37,62,25
109, 38,73,24
104, 36,66,14
103, 40,48,21
103, 42,59,33
64, 39,85,27
107, 38,57,18
104, 41,39,26
101, 41,60,30
60, 37,47,26
105, 45,72,40
123, 47,74,43
107, 38,86,18
240, 44,52,12
62, 42,72,23
105, 42,51,26
107, 43,85,23
104, 44,64,29
107, 36,91,19
68, 46,79,29
122, 42,71,24
191, 41,62,22
108, 44,64,36
66, 44,88,26
107, 39,125,26
104, 45,73,24
107, 49,72,36
108, 39,74,13
66, 46,79,34
108, 46,92,23
105, 46,67,35
109, 49,93,45
67, 45,88,32
113, 57,107,36
125, 49,123,38
314, 70,90,31
119, 51,90,26
71, 57,101,39
114, 216,101,28
120, 54,125,49
276, 58,77,33
72, 52,108,39
324, 60,130,32
120, 58,119,34
117, 55,119,38
310, 280,152,43
74, 59,131,43
113, 326,88,18
155, 68,118,42
128, 59,131,41
123, 49,131,45
71, 55,114,42
114, 55,168,35
116, 61,116,45
113, 49,127,26
69, 48,149,32
113, 52,127,31
125, 52,134,29
116, 66,123,39
116, 58,136,49
67, 63,117,53
