Intertion times,Searching times,Insert Collisions,Search Collisions
282, 20,0,0
85, 21,0,0
68, 20,0,0
109, 20,0,0
100, 20,0,0
89, 20,0,0
87, 21,0,0
47, 21,0,0
87, 22,0,0
85, 21,0,0
86, 22,4,1
46, 23,4,4
85, 22,4,1
84, 22,7,3
83, 22,2,0
89, 22,7,0
43, 22,5,1
98, 22,2,0
87, 22,15,1
88, 22,9,0
46, 23,8,1
86, 22,8,1
89, 22,9,0
87, 22,18,0
89, 23,14,2
49, 22,14,2
94, 22,20,1
87, 23,17,2
86, 22,19,0
49, 23,10,0
88, 23,16,0
87, 22,13,1
89, 23,18,4
83, 24,7,5
52, 24,19,4
90, 23,21,1
90, 23,13,0
87, 25,21,5
213, 24,43,1
50, 24,6,2
97, 24,37,2
92, 23,31,0
89, 24,21,2
49, 25,30,7
93, 24,33,6
91, 23,27,0
87, 23,12,0
89, 23,17,0
53, 24,27,2
88, 24,18,1
88, 24,16,7
94, 24,33,2
48, 24,17,2
92, 24,22,1
96, 24,37,2
86, 24,26,3
92, 23,41,0
53, 24,33,2
91, 25,27,5
90, 24,27,6
91, 24,26,2
53, 25,35,4
91, 24,29,1
95, 24,38,2
89, 26,23,13
90, 24,15,2
53, 25,25,3
89, 24,29,2
91, 24,21,0
89, 25,24,6
92, 25,14,7
53, 25,28,6
93, 24,32,3
90, 25,21,4
94, 24,28,4
51, 24,6,0
93, 25,27,7
92, 25,17,6
95, 24,37,1
94, 24,39,1
55, 24,18,3
218, 25,38,2
354, 27,34,5
103, 26,31,0
186, 26,16,5
97, 29,29,6
97, 29,33,12
102, 27,35,2
101, 29,22,4
59, 29,29,2
102, 29,32,20
103, 31,31,6
99, 28,43,8
56, 25,24,2
94, 29,38,10
91, 26,21,5
93, 27,33,8
89, 26,25,4
49, 27,13,7
93, 27,33,9
93, 26,41,3
94, 27,37,6
92, 27,30,9
54, 26,51,3
93, 26,33,4
92, 26,30,4
91, 27,15,4
56, 26,36,6
90, 26,11,8
93, 25,27,2
90, 25,28,3
89, 27,20,5
59, 26,28,13
93, 25,28,1
93, 25,31,4
89, 27,27,12
50, 27,23,5
89, 25,31,7
91, 28,27,12
87, 26,13,5
87, 26,11,6
57, 27,26,11
95, 27,34,10
165, 59,17,7
91, 27,19,5
50, 28,17,4
93, 25,25,2
94, 26,37,4
93, 27,27,4
95, 25,35,4
55, 28,42,9
99, 28,26,3
231, 29,18,9
92, 26,23,6
95, 27,40,3
60, 28,34,3
231, 26,21,5
94, 28,42,10
92, 27,26,4
56, 30,42,7
92, 31,21,5
91, 31,17,9
93, 29,10,5
88, 27,17,4
52, 25,32,2
90, 27,13,7
93, 28,19,6
89, 28,21,8
51, 25,19,6
91, 32,26,3
94, 29,35,5
98, 30,48,14
84, 32,21,12
58, 32,37,9
91, 27,19,9
88, 31,22,10
91, 26,28,5
49, 26,28,2
89, 28,43,9
85, 28,16,3
90, 31,31,11
87, 28,26,3
46, 28,23,16
86, 26,24,3
86, 28,23,7
163, 30,51,8
90, 29,35,8
56, 26,57,8
88, 27,19,5
88, 27,28,11
92, 32,31,12
53, 32,43,16
91, 32,18,11
98, 30,34,5
96, 31,35,4
103, 31,56,11
59, 29,61,3
276, 28,63,8
97, 30,55,5
101, 31,58,9
55, 29,34,7
101, 29,55,10
101, 32,49,6
101, 30,61,17
99, 30,53,11
59, 31,62,13
100, 29,44,7
101, 30,53,17
100, 28,62,2
62, 31,87,8
107, 32,84,13
104, 31,83,17
108, 29,104,12
103, 29,80,8
60, 30,58,0
107, 32,94,15
107, 33,103,11
107, 34,104,29
102, 32,75,12
65, 31,105,21
107, 32,113,15
106, 31,133,14
111, 35,122,14
64, 32,106,17
114, 33,154,23
110, 32,149,8
113, 31,150,14
215, 31,165,9
70, 35,159,18
112, 31,132,17
114, 33,217,25
114, 32,218,29
67, 33,113,29
115, 33,234,39
113, 29,204,19
112, 33,199,38
114, 32,208,26
72, 32,247,19
113, 32,241,38
114, 32,242,21
129, 30,230,14
75, 33,262,35
117, 35,234,19
115, 33,250,39
115, 38,267,76
114, 35,254,65
72, 34,237,55
122, 33,421,23
118, 33,357,45
120, 39,364,84
119, 32,369,27
78, 34,385,59
115, 38,272,119
120, 38,370,80
119, 36,391,62
76, 40,467,106
126, 34,596,64
120, 39,441,111
121, 36,426,75
124, 35,620,65
75, 37,356,80
123, 39,542,115
124, 40,653,149
125, 37,539,82
80, 38,495,124
126, 36,599,79
166, 43,624,172
127, 39,531,131
127, 40,629,130
87, 42,739,139
198, 41,486,141
124, 47,572,233
128, 47,655,232
89, 51,783,308
125, 55,665,395
126, 49,679,337
125, 40,604,149
135, 58,888,502
94, 80,975,1014
138, 95,980,1378
138, 57,1009,484
136, 86,991,1105
142, 49,1236,291
88, 64,787,654
133, 44,831,218
132, 52,866,365
140, 93,1146,1254
92, 62,900,608
139, 120,988,1848
137, 70,952,762
137, 82,1006,982
133, 77,896,919
92, 74,995,802
144, 93,1249,1365
132, 81,813,990
148, 95,1388,1389
95, 63,1139,590
139, 79,1025,931
146, 55,1191,451
254, 120,1463,734
147, 144,1046,2081
103, 180,1247,1737
145, 218,1138,3415
136, 429,944,4224
224, 289,1080,2546
149, 449,995,4337
208, 423,1102,3665
215, 209,902,1054
215, 736,1026,7070
214, 619,908,6355
151, 492,886,5080
205, 731,972,7902
1507, 749,1059,6977
282, 296,1074,4222
169, 293,931,1519
107, 264,1172,3081
138, 202,798,2866
137, 358,752,5274
135, 220,858,3131
97, 262,974,4095
133, 215,715,2812
138, 266,828,3793
147, 117,1202,856
133, 358,804,6363
89, 297,613,4883
147, 308,1246,5391
247, 223,970,2918
151, 357,819,5993
94, 440,735,6687
136, 307,702,4831
141, 273,840,4401
139, 325,671,5393
134, 223,819,3104
97, 240,928,3823
134, 269,736,3148
134, 309,737,4699
132, 447,737,8560
86, 347,625,3392
126, 268,860,4361
129, 177,974,2377
126, 358,802,6817
124, 407,794,7291
82, 246,724,3856
130, 440,983,8499
142, 226,838,2617
131, 167,944,2334
128, 205,910,2713
89, 316,998,4966
138, 345,1211,5903
121, 225,612,3463
127, 546,843,7185
89, 452,703,5159
125, 316,808,6059
121, 543,724,6303
372, 360,1220,5817
151, 183,1182,1852
97, 305,1014,4489
149, 431,1015,6833
138, 395,896,7317
141, 478,840,8248
96, 317,972,5512
274, 404,969,7302
128, 522,876,10615
128, 324,907,5702
128, 211,968,3272
94, 573,1104,5903
136, 386,737,4337
128, 246,924,4262
124, 276,828,5318
86, 252,872,4170
127, 287,898,5370
133, 302,1143,5994
127, 244,844,4686
122, 485,660,10432
90, 342,1027,7062
132, 278,1097,5294
133, 183,1095,3175
118, 460,592,4229
131, 505,751,6882
259, 197,633,3177
132, 271,619,4721
141, 372,1020,7549
125, 642,597,10753
83, 424,807,9140
130, 320,1052,5870
124, 264,779,5249
118, 276,624,5500
119, 320,635,6461
79, 389,673,8306
122, 237,668,4694
121, 249,683,4874
120, 292,728,5272
84, 211,847,4055
125, 299,857,6424
126, 239,858,4575
481, 220,718,3813
231, 485,807,3117
96, 323,1033,6225
139, 282,961,5177
144, 478,1230,9408
135, 427,825,8140
107, 242,1474,4074
160, 446,1726,8727
154, 398,1520,7131
160, 277,1763,4375
173, 410,2100,4903
111, 313,1810,5991
163, 355,2195,7146
144, 360,1495,7268
163, 168,2171,2987
150, 621,1746,9038
123, 385,1889,6317
177, 498,2118,5180
198, 255,2401,3759
355, 726,3343,8166
174, 284,4066,5639
345, 681,8039,14592
447, 743,11059,16209
878, 806,24149,12590
2964, 3893,76808,93825
