Intertion times,Searching times
336, 206
726, 439
1094, 650
1499, 850
2832, 1066
2410, 1356
2848, 1524
3209, 1619
3984, 3214
6921, 4360
4859, 2318
4887, 2435
5661, 2888
6310, 2695
6054, 3324
7210, 3571
7524, 3700
7248, 3248
7148, 3513
7513, 3758
7893, 4351
8424, 5459
8788, 4128
9082, 4423
9697, 4995
10447, 4731
10232, 4903
11077, 5712
11059, 6360
11413, 6154
11797, 5275
13073, 5813
12536, 6425
12889, 6604
13293, 7525
13712, 6791
14496, 6959
14423, 6806
15058, 7483
15924, 8195
15873, 8325
16047, 8242
17365, 8937
18745, 8862
17469, 8920
19086, 8991
18220, 8593
20222, 9410
18977, 9272
19338, 9132
19778, 9865
20766, 9328
20176, 10226
21132, 9804
23249, 9693
21283, 15631
46942, 13042
24694, 12572
29822, 11415
23258, 12029
23103, 12612
25539, 11061
24978, 11708
25079, 14497
25097, 11270
24752, 12563
30596, 12800
25591, 11919
26181, 13083
26414, 12817
27258, 12388
28670, 14324
27751, 13466
30224, 12759
28790, 13278
28956, 14236
29947, 14551
31060, 18569
31210, 14511
31280, 15508
31851, 14626
34482, 17817
34502, 14819
32313, 15433
34992, 15750
37635, 15164
34428, 16486
33869, 15773
36813, 17807
34724, 18507
37909, 21817
36660, 17475
35011, 17757
37151, 18092
36215, 18104
38475, 21759
38620, 18765
39293, 17567
37734, 17815
38444, 21281
41395, 17582
39101, 18851
42740, 18712
40153, 18840
40108, 20450
42079, 19801
40432, 50597
48629, 22896
42313, 19690
43281, 23618
42989, 20090
43647, 20629
45661, 22402
43943, 22045
45102, 19134
45902, 20632
45929, 32546
47711, 22250
48757, 22372
48550, 24806
47999, 22917
50431, 27979
50582, 20870
47972, 24909
53083, 52894
53887, 30736
50194, 20299
51658, 23209
51457, 24392
53352, 22344
52340, 23224
51356, 22711
56314, 24557
53635, 25341
57153, 29240
52396, 25388
53876, 27218
53939, 23394
59073, 25791
57225, 27100
62294, 42106
57566, 24495
54773, 23308
55867, 26076
62327, 26302
56683, 27306
58974, 25418
55945, 27227
58014, 29663
57940, 28989
64565, 27801
60302, 26862
59509, 26750
60887, 32552
61254, 26596
60252, 29189
69078, 53544
67025, 29588
61195, 32793
61731, 31716
62207, 29059
62353, 30239
64917, 28301
63198, 34668
65170, 31925
64407, 30695
65558, 35345
65155, 29884
68791, 37057
67053, 61465
67459, 31612
69570, 30721
67462, 32732
71609, 34663
73354, 37528
95126, 51461
68758, 34145
69863, 46478
78549, 34317
105662, 31778
76315, 88329
71999, 35662
75441, 30539
74679, 34409
73152, 33052
73192, 34259
74129, 32366
74581, 36646
73532, 36453
73658, 35023
74699, 40151
73870, 39059
76904, 34443
94761, 36867
75889, 36353
75921, 35572
78607, 34527
77348, 36503
82055, 36833
79666, 42893
79027, 40207
81789, 37516
77576, 35363
86113, 36881
93995, 42337
81240, 36165
79983, 39749
82206, 35289
