Intertion times,Searching times
262, 220
711, 392
986, 548
1355, 767
1726, 990
2136, 1090
2483, 1255
2989, 1591
3230, 1630
3834, 1917
4201, 2026
4418, 2003
5137, 2420
6004, 2583
6253, 2781
6456, 2993
6381, 3263
6844, 3463
7140, 3444
7635, 3577
7878, 4203
8181, 3959
8720, 3407
10672, 4484
9590, 4369
10428, 4735
10164, 4814
10524, 5281
11136, 4784
11522, 5176
14764, 5310
11797, 6189
12158, 5723
12505, 5666
13322, 6715
13863, 7055
15065, 7074
15430, 6915
15251, 7216
15243, 7076
15690, 6828
16757, 8356
16589, 7332
17008, 8292
16847, 8264
17734, 8584
17989, 8865
18391, 8952
18581, 8566
18451, 9128
20487, 11600
20157, 7814
20201, 8691
36746, 10661
21271, 10200
21873, 10168
23709, 11861
24257, 9765
22432, 11494
23884, 11282
23266, 10395
23846, 12448
25339, 10571
24031, 10709
26019, 12459
25963, 10366
25587, 12452
34296, 12216
26720, 12365
27811, 12613
28161, 14601
27147, 14124
28968, 12034
28633, 14100
28942, 14419
29181, 12159
29469, 14740
31129, 15468
30467, 13626
31159, 14469
30835, 15588
33452, 15006
31613, 14609
32736, 14538
33237, 15420
33252, 16151
33936, 19366
36834, 19783
34609, 18270
34875, 18237
35242, 17472
35504, 16195
36265, 20277
36735, 17609
37625, 17594
36604, 16844
37898, 21121
37612, 16871
38232, 18161
38806, 17609
39476, 20165
39677, 17303
39408, 17700
41079, 18605
40571, 18048
41210, 18636
41228, 18885
41616, 19423
43073, 19261
44655, 41385
46812, 27448
44696, 19926
44300, 23062
43816, 23107
44781, 21729
44880, 21795
45383, 18434
47726, 20249
45981, 21223
46679, 22496
47651, 21722
55255, 24301
49343, 23129
48009, 25546
50041, 23524
49015, 25729
50072, 23439
73770, 26772
54609, 24386
50127, 24855
51554, 27302
52475, 23865
53887, 27136
52536, 24010
52746, 27985
55475, 23394
53288, 25034
57311, 28649
59123, 25376
55160, 24110
54551, 26265
56619, 32587
63827, 28617
60595, 27849
62804, 42487
65009, 32018
74452, 30381
65010, 29764
62560, 29564
63285, 30633
60834, 29560
60659, 27305
61012, 30257
60093, 28357
60238, 28443
61033, 29350
62364, 29549
62541, 31726
92631, 32869
64548, 30005
64002, 28706
66031, 30791
65361, 30141
66923, 28667
63857, 32229
66944, 29245
65175, 30786
66709, 33817
65984, 30840
66761, 27826
67095, 31736
96046, 29803
67845, 31233
68245, 30480
